baseMean	log2FoldChange	lfcSE	pvalue	padj
FBGN0051106	0	NA	NA	NA	NA
FBGN0286506	28.7599999643257	0.065345219994509	0.250902507491535	0.650225609387643	0.83885415037041
FBGN0039439	0	NA	NA	NA	NA
FBGN0037964	0	NA	NA	NA	NA
FBGN0039625	11.2187096882414	-0.105797433313909	0.295969929421959	0.365084482456309	0.647291888725968
FBGN0039723	0	NA	NA	NA	NA
FBGN0262955	674.824488009943	-0.318780994583436	0.108095855284263	0.0015586829546025	0.0152006966740029
FBGN0039613	0.265259385051928	0.0124616294578548	0.300116809003916	0.777257638432982	NA
FBGN0051103	2.00285837902499	-0.0268819232296343	0.29614535086362	0.638242073099342	0.833331958452294
FBGN0039807	2.7918685945617	0.0882808021254425	0.313966176802377	0.132074568310916	0.370133685847848
FBGN0051493	0	NA	NA	NA	NA
FBGN0038868	27.0137830755577	0.00612293055185319	0.250198331447047	0.966276189562089	0.990556404485835
FBGN0038787	40.1702918557327	0.192301792404565	0.287512382972546	0.232792435888698	0.512102494279439
FBGN0039154	1.37719369240503	0.0425382575490257	0.301808185909232	0.276629852263814	0.562898987199243
FBGN0051158	142.203080399425	0.0286617799221872	0.160924540949675	0.834081606824613	0.932528931220043
FBGN0039600	403.235519913024	-0.224571726316635	0.119880928726077	0.0402651498690367	0.175713094524252
FBGN0038219	0	NA	NA	NA	NA
FBGN0262473	156.758378000356	0.149378243358071	0.177704010701444	0.302843989272539	0.588092290790257
FBGN0083984	5.53209594862605	-0.0978203511324654	0.309998966626943	0.245638572083305	0.527249906792569
FBGN0038878	0.907167115291169	0.000354771399829361	0.298338946189044	0.990747576879239	NA
FBGN0039523	0	NA	NA	NA	NA
FBGN0004389	0	NA	NA	NA	NA
FBGN0038877	22.4403122967071	0.245851123460261	0.357702179394356	0.125635985584105	0.35973228317094
FBGN0039356	13.9758730005692	-0.528418863919904	0.735782665470287	0.0237791495826395	0.120889402104034
FBGN0037455	0	NA	NA	NA	NA
FBGN0039264	0	NA	NA	NA	NA
FBGN0287211	0	NA	NA	NA	NA
FBGN0037994	0	NA	NA	NA	NA
FBGN0004885	621.763456588777	0.327079433068641	0.111928404493376	0.00166282658314586	0.0161326362305467
FBGN0038136	0	NA	NA	NA	NA
FBGN0051390	100.135545421203	0.0507713720021479	0.183100842511051	0.728131301016243	0.883462845302749
FBGN0038948	44.3385369870265	-0.0952323184353662	0.23615735461014	0.53205581714546	0.774995677860657
FBGN0038601	110.762156757526	-0.182954312691841	0.192643135025915	0.226986280124026	0.50539231277837
FBGN0264836	0	NA	NA	NA	NA
FBGN0000277	0	NA	NA	NA	NA
FBGN0038751	0	NA	NA	NA	NA
FBGN0266172	0	NA	NA	NA	NA
FBGN0264326	103.253965385826	0.0944427737850036	0.188744339780982	0.523735815797037	0.769846692895957
FBGN0051088	0	NA	NA	NA	NA
FBGN0039188	44.8516662167542	0.131376566544666	0.254790709603151	0.398214121844792	0.679348726440347
FBGN0266448	0	NA	NA	NA	NA
FBGN0025456	21.0495662126513	-1.02892170562737	0.662886067100044	0.00505646981763957	0.0382490911054647
FBGN0040602	0.178202583238334	-0.0131064831740417	0.300199233964994	0.669569044766198	NA
FBGN0037386	0.256407154091501	-0.0139728605446277	0.300285129144157	0.669569044766198	NA
FBGN0051156	36.0333218202678	-0.0908142088883765	0.245596433428189	0.542704860131841	0.781723724776114
FBGN0037265	6.21066024364129	0.00802878858615502	0.286547746418499	0.927248140999076	0.971704358490878
FBGN0004197	520.794417229574	0.101826486493145	0.10550143240185	0.302328296015634	0.587923711438424
FBGN0085305	0	NA	NA	NA	NA
FBGN0037857	0	NA	NA	NA	NA
FBGN0044810	0	NA	NA	NA	NA
FBGN0037955	98.4133721212339	-0.0332832395116432	0.19282997862186	0.820247079881103	0.924653342372715
FBGN0037270	259.532578727421	0.855951108771628	0.180417889943848	2.30554034450642e-07	8.2944295934659e-06
FBGN0264899	0	NA	NA	NA	NA
FBGN0039139	65.249624840708	-0.026417105894677	0.204807693947641	0.858659054884026	0.942615588271982
FBGN0041229	0	NA	NA	NA	NA
FBGN0039286	2.3100337480088	0.0280325528948922	0.296572886009608	0.61853413373999	0.827095527581537
FBGN0037251	5.6984250867066	0.0514412628274582	0.291786190149534	0.560820608570092	0.794575118869139
FBGN0051050	0	NA	NA	NA	NA
FBGN0037719	42.4807910394296	0.247640398889733	0.293928115551656	0.154352995184766	0.40462667173945
FBGN0039093	0	NA	NA	NA	NA
FBGN0016685	1230.98722970663	-0.35031074747197	0.0912197147670715	5.44938100997669e-05	0.000958276104629828
FBGN0038584	20.9797990869679	-0.129729918685988	0.279436180082517	0.366217771301378	0.648361531060763
FBGN0051337	2.08635733414755	-0.0208257260472144	0.296889334333616	0.676908544652816	0.852113736354349
FBGN0028692	1301.46126640156	-0.173234767000284	0.0792621827339171	0.0230514262308604	0.118228972598799
FBGN0037727	0	NA	NA	NA	NA
FBGN0002734	14.8233860587921	0.130985913587929	0.297868276538425	0.31680387571373	0.603202922636499
FBGN0037563	12.2532989697901	0.0192514062313754	0.300987602617079	NA	NA
FBGN0053100	17.8496321890652	0.14355028285377	0.296966006968992	0.301288874298454	0.587695031594242
FBGN0038089	0	NA	NA	NA	NA
FBGN0022800	63.5354299815871	-0.116562136756628	0.214838810111126	0.450148897947867	0.718918768833903
FBGN0051086	0	NA	NA	NA	NA
FBGN0042105	0	NA	NA	NA	NA
FBGN0038575	0	NA	NA	NA	NA
FBGN0045442	0	NA	NA	NA	NA
FBGN0051404	0	NA	NA	NA	NA
FBGN0027657	2.60536452019042	0.0793451658899553	0.310368314993787	0.164488747401015	0.418967104237207
FBGN0262823	0	NA	NA	NA	NA
FBGN0039240	69.1478207620641	0.318386821159781	0.260244443218708	0.0770186400073751	0.265765559529809
FBGN0037792	82.6014133094197	0.0375914818073333	0.191254815011713	0.800364470839965	0.916868109770679
FBGN0261840	1.56669158138976	0.0278138050473117	0.299023396375516	0.512376404467435	0.762883814913644
FBGN0039505	9.2086987787056	0.219309238969841	0.390993672539504	0.0669793871815631	0.243882814633498
FBGN0039790	84.5953178871248	0.374316415685214	0.244327624754911	0.0378120296607301	0.167733717415357
FBGN0010173	620.211605129398	-0.648438466803089	0.115849630428053	3.65063659984117e-09	2.07948004501559e-07
FBGN0039527	92.9169987035809	0.13880106943623	0.197511992794448	0.362207722620517	0.644697079124725
FBGN0015570	1.025628616366	-0.0363948091125061	0.302867917681448	0.169803646544124	NA
FBGN0051015	0.350094256279717	0.0136409801674043	0.300223651328828	0.695567560845065	NA
FBGN0037617	28.3229292442021	-0.253702503732214	0.338241910574875	0.134115448987589	0.373131451470189
FBGN0039748	0.21984148869953	0.0118765478463455	0.300068279749139	0.81979408855431	NA
FBGN0028422	0.769221462274503	-0.0282875243916156	0.301664919649165	0.269413554783785	NA
FBGN0038731	0	NA	NA	NA	NA
FBGN0038043	138.342521532591	-0.208079252493621	0.184487476085822	0.160984960657436	0.414110817373679
FBGN0004777	0	NA	NA	NA	NA
FBGN0037293	59.6566114076277	-0.568056462112656	0.323943717960832	0.0106131279025213	0.0675699480940371
FBGN0039009	0	NA	NA	NA	NA
FBGN0039766	3.15223270288102	-0.00672609394399593	0.291508161386727	0.921410969220168	0.969099045680017
FBGN0039283	3.7105114402292	-0.031519930313777	0.295816175894268	0.606817878095537	0.822485957230755
FBGN0037818	0	NA	NA	NA	NA
FBGN0037492	7.85097996840137	-0.0859489176931678	0.296605362968805	0.398297517341753	0.679348726440347
FBGN0039668	82.2744735317474	0.543704325648981	0.266729094514824	0.00707120215585792	0.0502476279545859
FBGN0014427	376.390252019584	-0.431561227215282	0.141819853193606	0.000720033546926583	0.00814801745684355
FBGN0261286	157.609774207956	0.128145898597115	0.168202471364393	0.357940267162535	0.640436306369137
FBGN0038282	0	NA	NA	NA	NA
FBGN0038473	252.702687947809	-0.999328460083999	0.172557031656132	6.25045618451489e-10	4.05148103891099e-08
FBGN0039016	90.0474561863158	0.179898967318277	0.20626551119271	0.250321563517909	0.53239223262792
FBGN0039067	35.1248752244158	-0.02620836801252	0.239601637191146	0.854719492221636	0.941907645026305
FBGN0087012	0	NA	NA	NA	NA
FBGN0039555	85.4774920551495	0.190759325566568	0.213673367120427	0.230049625678247	0.509197272733218
FBGN0053970	49.4754865313139	0.0970514027019669	0.231585957944563	0.529213786866454	0.772352186228429
FBGN0085326	0	NA	NA	NA	NA
FBGN0037538	149.689235940316	-0.337297614213066	0.191391897564856	0.0305092996811956	0.144604853758427
FBGN0086768	16.8825704450505	0.206103850910328	0.344963183357499	0.148859238639247	0.394944465535816
FBGN0038722	106.795415201715	0.0619210532056263	0.188719979611493	0.676142199901932	0.851862131545347
FBGN0259244	150.487431200636	-0.380768980749565	0.20541998746878	0.0205617459556702	0.109029455458874
FBGN0037481	24.756197635186	-0.142666320221021	0.280557868034093	0.334761855749854	0.620567600733103
FBGN0039810	0	NA	NA	NA	NA
FBGN0040534	230.416844538156	-1.19427856419172	0.203626588361607	3.27608377165847e-10	2.19936373920536e-08
FBGN0014135	3.92719391547742	-0.0634994659706332	0.302733028131648	0.328023922318075	0.613555738514546
FBGN0039058	0	NA	NA	NA	NA
