Geneid	RpS12_C_RNA	RpS12_B_RNA	RpS12_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0003567	15150	16427	15527	12729	14877	14056
FBGN0261291	16	12	29	10	2	1
FBGN0039674	1015	1491	1548	1112	1294	1399
FBGN0038915	0	3	0	11	0	1
FBGN0039818	34	94	150	56	52	25
FBGN0038286	5221	5384	5685	3668	4006	4362
FBGN0263597	0	0	0	1	0	0
FBGN0010113	80955	79443	85471	89365	82429	86050
FBGN0037298	5133	6209	5355	4018	4410	5019
FBGN0051220	22	26	32	27	15	22
FBGN0040687	2	0	5	0	0	6
FBGN0039163	3318	3060	3463	2600	3230	2864
FBGN0260741	864	696	826	802	922	895
FBGN0026059	12042	13577	13596	11199	11830	11699
FBGN0051300	25	8	18	20	15	10
FBGN0051406	35	0	0	10	17	7
FBGN0045843	12	8	19	12	26	68
FBGN0051459	1	0	13	23	2	4
FBGN0051368	10510	11589	10807	8638	9500	9562
FBGN0266673	4123	3832	3560	3505	3948	3399
FBGN0010313	19474	25212	22729	16690	16624	19975
FBGN0262587	87	60	317	43	30	20
FBGN0038355	22	4	24	18	11	23
FBGN0037460	4	12	5	13	14	22
FBGN0085307	1	0	10	10	10	21
FBGN0039182	10429	11237	10802	9307	10444	10949
FBGN0038339	135	285	228	150	154	149
FBGN0040257	25	67	39	17	34	9
FBGN0039378	144	199	123	72	19	10
FBGN0051370	18	26	105	18	13	26
FBGN0083950	30	52	49	80	51	35
FBGN0011668	14	0	0	0	0	0
FBGN0265083	69	134	60	151	141	156
FBGN0038108	38470	44461	39950	29044	30981	33683
FBGN0037827	39	26	31	39	19	1
FBGN0015622	19648	22574	22386	19175	21253	19659
FBGN0037662	11	0	4	31	26	7
FBGN0037879	33	55	45	80	98	31
FBGN0038857	2336	2626	2187	2023	2096	2062
FBGN0051388	1300	1533	1530	1358	1365	1594
FBGN0038100	2909	2985	2843	2119	2609	2145
FBGN0039175	5162	4793	4973	4184	4508	4749
FBGN0039120	31086	30114	28534	28629	30398	31826
FBGN0262023	8	38	28	1	30	4
FBGN0039722	2	3	0	5	2	5
FBGN0266443	0	18	0	24	30	21
FBGN0013767	0	0	0	17	10	10
FBGN0038401	495	590	683	484	672	548
FBGN0086695	1254	1159	1258	1218	1147	1347
FBGN0037760	16090	18996	16599	13877	14860	14714
FBGN0262541	0	0	0	5	7	4
FBGN0038274	3955	3793	3842	3223	3442	4049
FBGN0003510	1138	927	1049	261	418	289
FBGN0004573	17	20	76	31	33	32
FBGN0001180	40	9	91	63	53	48
FBGN0038206	2771	3543	3274	1718	1718	2008
FBGN0010222	1849	1428	1799	1769	1897	1779
FBGN0027583	499	585	571	634	783	892
FBGN0266721	16	21	9	8	10	29
FBGN0038744	210	241	132	184	137	139
FBGN0011474	10103	10563	10108	9541	10901	10987
FBGN0038917	625	791	816	719	662	599
FBGN0038239	8	18	241	6	2	11
FBGN0083967	1165	984	1350	684	637	864
FBGN0039830	26582	26002	25645	24371	30129	30645
FBGN0039404	1624	1643	1843	1389	1439	1522
FBGN0040588	0	0	0	4	9	0
FBGN0039125	4598	4242	4208	4025	4774	4391
FBGN0038632	1136	1082	1143	892	1204	1184
FBGN0267648	0	0	0	0	0	0
FBGN0086372	9530	11464	11043	9136	10223	9517
FBGN0043069	126	343	1491	138	185	60
FBGN0028684	11283	11916	10569	11156	13504	12686
FBGN0051207	6	29	46	36	34	12
FBGN0066101	4215	4084	4705	4257	4656	4908
FBGN0283535	3901	4618	5477	4568	4970	5018
FBGN0037261	9137	11004	10209	7472	7394	8543
FBGN0039576	0	0	5	2	0	5
FBGN0039190	21	42	5	6	8	14
FBGN0284226	376	399	433	318	284	380
FBGN0000071	14143	15965	13279	9957	11735	11907
FBGN0037632	33084	36398	33722	31762	35637	35746
FBGN0039630	20	10	69	61	27	24
FBGN0037498	45	48	75	19	23	11
FBGN0039126	754	809	977	813	931	925
FBGN0039092	44	8	66	54	46	34
FBGN0038474	1554	1738	1925	1289	1525	1321
FBGN0022338	2415	2138	2036	2837	2866	3010
FBGN0286977	29	3	10	37	19	0
FBGN0039707	11	0	10	26	9	16
FBGN0038170	163	208	152	145	117	168
FBGN0037860	22	5	6	16	8	16
FBGN0039666	0	3	17	12	6	1
FBGN0260990	6164	6573	6782	4688	5215	5446
FBGN0052855	394	400	364	287	338	263
FBGN0001230	3037	5525	4632	1707	2559	1738
FBGN0039296	726	900	942	743	914	937
FBGN0285938	0	0	0	0	0	0
FBGN0039022	15	80	315	43	20	27
FBGN0086134	9680	10241	9589	9125	10853	10258
FBGN0038005	25	16	30	30	8	2
FBGN0039711	1708	1616	1380	1176	1393	1457
FBGN0085330	6	45	54	8	10	16
FBGN0028671	7477	8346	8796	5159	5901	6048
FBGN0051323	12	1	34	10	6	2
FBGN0039839	36	35	66	55	28	15
FBGN0037652	2439	2183	2552	2130	2835	2426
FBGN0085438	162	140	161	135	146	67
FBGN0037763	14	0	19	2	37	6
FBGN0264829	1	0	11	0	7	4
FBGN0082831	23871	25135	25493	19936	22630	21907
FBGN0037646	2	18	45	91	75	67
FBGN0037622	3654	3919	3842	2888	2727	3233
FBGN0038700	41	54	16	13	19	21
FBGN0038585	3646	2881	3103	2737	3312	3587
FBGN0038453	2545	2448	2126	2417	2838	2689
FBGN0040259	2384	2372	2476	2120	2021	2250
FBGN0039136	3169	3927	3615	2641	3058	2972
FBGN0263041	23	9	46	39	21	1
FBGN0266756	54577	59757	56008	40427	43365	43283
FBGN0038965	2040	2434	2313	1775	2130	1947
FBGN0051515	2	0	8	8	9	0
FBGN0038666	2670	2489	2501	2714	3369	3443
FBGN0039735	12780	12168	12480	11709	12901	12749
FBGN0038319	1494	1316	1614	1520	1498	1737
FBGN0039873	21	26	34	39	30	18
FBGN0038125	0	7	20	14	10	13
FBGN0039639	175	242	207	210	242	201
FBGN0266465	4889	5518	5530	4460	4555	4999
FBGN0037619	501	380	432	357	315	422
FBGN0039783	37	47	26	74	20	36
FBGN0038564	674	465	482	459	511	428
FBGN0038056	463	454	892	747	861	733
FBGN0015571	755	934	634	382	458	462
FBGN0039454	0	19	0	30	0	0
FBGN0037312	3180	3460	3474	2487	3305	3408
FBGN0038682	410	739	591	333	328	405
FBGN0039079	34	14	0	19	10	5
FBGN0039683	30	36	23	33	23	17
FBGN0038181	198	167	253	184	199	81
FBGN0042207	74	12	45	56	58	10
FBGN0039648	29	2	8	24	1	4
FBGN0037341	630	533	684	657	768	940
FBGN0026417	1288	1341	930	1017	1137	1033
FBGN0039205	132	114	225	145	108	260
FBGN0000166	67	63	54	75	19	16
FBGN0000576	7772	9601	7438	5794	6174	6768
FBGN0037777	463	530	490	515	541	569
FBGN0037470	8920	9951	9382	9147	10474	10374
FBGN0039568	41	0	19	10	0	0
FBGN0010421	2358	2245	2276	1894	2485	2437
FBGN0003375	120	694	3335	401	3747	351
FBGN0037888	24	70	19	37	34	29
FBGN0039258	1817	1717	1572	1618	1788	2106
FBGN0038889	3460	3635	3949	3502	3982	3685
FBGN0038304	3856	4119	3857	3069	3453	3807
FBGN0086472	60734	55281	54530	58144	67917	63347
FBGN0037295	397	284	269	199	293	253
FBGN0039141	2543	2728	2752	2052	2443	2208
FBGN0037875	2645	3148	2481	2312	2681	2856
FBGN0262537	0	0	6	6	2	10
FBGN0086608	95	173	263	118	141	294
FBGN0038007	7	42	27	8	17	17
FBGN0012344	10	26	44	24	5	27
FBGN0038296	2576	2671	2510	2239	2463	2571
FBGN0039199	28	20	43	80	33	16
FBGN0039487	720	458	625	938	1008	984
FBGN0037422	1	45	11	8	0	23
FBGN0051559	654	1033	719	397	674	554
FBGN0038157	6	4	6	26	6	0
FBGN0038680	53	118	379	117	48	81
FBGN0038647	95	428	3355	16	3	29
FBGN0039642	3271	3825	2877	2746	3316	3261
FBGN0267650	0	0	0	0	0	0
FBGN0053110	1	31	23	14	14	42
FBGN0039799	5	11	6	5	6	8
FBGN0263316	182	196	292	311	324	302
FBGN0037630	187	155	114	41	67	56
FBGN0040684	2	0	0	5	4	3
FBGN0015520	4996	4920	4387	3968	4830	4351
FBGN0038548	1219	1221	1162	1086	1094	1195
FBGN0015270	1571	1773	2011	1895	2052	2322
FBGN0039760	39	28	3	58	6	21
FBGN0039640	31	85	78	84	66	143
FBGN0038536	866	656	888	972	987	1112
FBGN0003248	26	22	32	32	12	42
FBGN0038266	4	15	39	42	25	14
FBGN0039667	11	8	53	36	27	8
FBGN0262873	5	8	9	1	10	0
FBGN0015778	58653	61035	56391	46898	50167	53722
FBGN0038073	124	226	92	87	102	35
FBGN0038133	1	35	38	16	25	11
FBGN0000094	0	0	0	0	3	0
FBGN0260969	1	15	43	9	0	8
FBGN0003312	215	328	273	441	137	235
FBGN0038827	3634	3787	3613	4438	4814	4721
FBGN0039156	1410	1872	2493	1465	1570	1444
FBGN0038755	2091	2888	2743	1857	2227	2697
FBGN0037979	3361	3002	3716	2590	2989	3205
FBGN0038049	2380	3205	2567	2063	2229	2432
FBGN0038258	19	24	36	49	12	16
FBGN0038860	830	1015	1152	948	1224	1238
FBGN0015591	18	7	28	22	13	34
FBGN0039743	8193	10096	8467	6844	6999	8085
FBGN0037661	281	358	396	228	242	165
FBGN0051423	33	0	0	41	21	12
FBGN0039617	26	12	17	33	45	19
FBGN0000014	222	85	194	130	72	106
FBGN0040532	3	76	605	34	34	18
FBGN0038294	352	550	838	452	264	278
FBGN0000276	1	0	3	8	2	4
FBGN0086378	2460	2122	2534	1731	2338	1802
FBGN0051245	143	207	144	127	156	60
FBGN0040600	5	6	5	23	8	17
FBGN0039033	11	6	3	36	14	0
FBGN0038334	25	0	28	4	11	8
FBGN0004855	2207	2139	2039	1655	2286	1724
FBGN0039274	1139	925	1280	1263	1528	1588
FBGN0039246	28	0	25	22	10	3
FBGN0038065	4115	4934	4771	4197	4689	4839
FBGN0265317	0	0	0	0	1	0
FBGN0038353	78	371	2909	23	49	42
FBGN0261988	4026	4612	4602	3844	4076	4193
FBGN0015576	39	92	461	52	21	6
FBGN0037660	2470	2878	2805	2722	3008	2986
FBGN0010750	6430	6891	6023	5915	6604	7076
FBGN0267376	2558	2475	2576	1282	1443	1372
FBGN0039403	932	953	964	900	984	971
FBGN0037540	1513	1487	1336	1237	1403	1504
FBGN0053494	38	17	74	17	3	12
FBGN0037428	10	30	2	16	18	15
FBGN0051183	128	138	278	103	123	61
FBGN0015513	15256	16451	15904	11252	13613	13495
FBGN0005585	104403	131086	119745	104914	119721	116382
FBGN0085334	33	0	18	62	57	59
FBGN0038009	48	55	14	5	24	20
FBGN0037591	47	13	20	9	17	10
FBGN0265998	35134	41717	38546	34999	36213	31479
FBGN0262527	24908	27038	27521	23498	25033	22912
FBGN0038567	17	11	18	20	24	9
FBGN0039088	4	2	5	8	0	2
FBGN0038092	1	40	2	29	37	30
FBGN0039053	30	19	17	14	6	20
FBGN0037413	11	10	3	22	10	12
FBGN0038617	755	842	885	617	679	762
FBGN0004575	61	68	132	60	52	19
FBGN0008646	4565	5895	4686	3589	3453	3712
FBGN0261704	0	2	6	4	0	3
FBGN0039167	1160	1339	1501	1507	1436	1670
FBGN0039229	22734	25599	23008	17480	19965	19355
FBGN0037244	1316	1556	1730	940	1277	1292
FBGN0037935	23	17	54	4	21	18
FBGN0037263	190	166	176	154	128	157
FBGN0262869	40	65	99	167	45	63
FBGN0261995	723	901	667	698	797	937
FBGN0040565	37	165	806	52	282	12
FBGN0259731	16	171	101	13	21	12
FBGN0037359	1513	1599	1817	1440	1749	1565
FBGN0037443	7076	8589	8415	5159	5580	5389
FBGN0038727	230	347	324	498	335	518
FBGN0051547	107	201	355	108	183	147
FBGN0039877	3583	4241	4147	3508	4171	4077
FBGN0069242	8416	9924	9107	5101	5481	5916
FBGN0004783	29	54	26	49	14	7
FBGN0037716	3404	3862	3797	2626	2910	3307
FBGN0263117	32	19	41	30	15	77
FBGN0039768	11	147	660	22	7	20
FBGN0039696	3454	3390	3425	2407	2392	2526
FBGN0039673	25	0	27	30	47	0
FBGN0038166	1536	1609	1574	1745	1664	1697
FBGN0051391	58	156	62	96	101	111
FBGN0038926	21	45	64	54	82	63
FBGN0263236	9778	14960	11022	3781	5483	4254
FBGN0039379	5101	5725	5425	4149	4983	4846
FBGN0263047	439	339	385	269	384	332
FBGN0010926	5684	5857	5913	5660	6360	6308
FBGN0038201	8	22	32	35	19	1
FBGN0039782	35	10	19	18	26	14
FBGN0038109	8	16	21	18	0	22
FBGN0266722	311	205	355	218	282	303
FBGN0037356	734	660	810	730	820	1052
FBGN0039152	181	403	2552	93	130	99
FBGN0039857	115324	126519	115235	107364	118593	128951
FBGN0039529	33	20	37	8	55	9
FBGN0260466	17	44	32	50	57	40
FBGN0037696	669	739	741	471	715	601
FBGN0038153	34	19	11	20	17	31
FBGN0038527	11	5	0	13	1	23
FBGN0038143	80	73	108	77	38	67
FBGN0064912	0	30	2	18	20	5
FBGN0051344	918	1064	1099	1038	975	994
FBGN0038531	26	0	6	45	51	18
FBGN0038197	3104	3459	3393	2765	2952	3002
FBGN0039203	10	20	3	15	10	10
FBGN0285925	14171	15201	14263	14299	14381	14838
FBGN0037686	124196	146743	136831	117592	136833	136608
FBGN0039820	13	23	3	39	19	10
FBGN0025879	354	299	224	156	207	197
FBGN0039757	131654	164584	148609	133106	127168	156724
FBGN0040571	6	14	8	7	6	0
FBGN0259721	607	508	405	481	478	472
FBGN0038838	0	4	5	5	14	6
FBGN0053631	6	0	7	17	0	5
FBGN0011282	9	21	9	30	5	11
FBGN0039528	5887	7129	6809	5023	6000	6458
FBGN0038524	1098	1141	1066	985	1212	1201
FBGN0051118	253	344	309	144	166	190
FBGN0038418	3791	3588	3594	3165	3649	3703
FBGN0039476	3	33	174	12	11	18
FBGN0040575	51	37	40	15	24	61
FBGN0051131	30	0	33	9	36	11
FBGN0039183	7521	7943	7829	5844	6913	6821
FBGN0265271	1	9	5	21	27	0
FBGN0039796	15	2	16	15	11	2
FBGN0038733	44	41	35	53	28	28
FBGN0028647	2760	2891	2794	2016	2130	2474
FBGN0038693	878	1250	1313	635	565	570
FBGN0266411	27742	31268	29199	29273	29436	31350
FBGN0263231	40758	42521	41403	35498	40175	42338
FBGN0085413	111	96	107	125	83	49
FBGN0039459	960	1055	834	756	963	651
FBGN0053721	10	26	17	8	9	8
FBGN0051065	28	28	36	38	6	5
FBGN0263983	0	0	0	15	8	2
FBGN0037549	7764	7860	7410	6396	7027	6900
FBGN0267337	30045	34339	33010	29146	28383	27925
FBGN0039380	14	18	15	22	9	8
FBGN0000283	34282	34856	33825	31617	34930	33768
FBGN0038676	610	642	759	650	529	661
FBGN0038345	38	5	5	15	0	8
FBGN0038431	12	13	4	18	15	27
FBGN0038485	5	74	7	7	2	3
FBGN0039488	2049	2506	2268	2129	2402	2116
FBGN0038113	1	6	17	12	13	1
FBGN0038491	598	714	555	384	556	518
FBGN0243511	6674	6755	7266	5110	5905	6618
FBGN0038892	18	11	15	42	25	56
FBGN0027526	2922	3537	3304	2546	2936	3046
FBGN0003118	5197	4854	5618	5429	6293	5420
FBGN0001077	4	47	25	41	37	30
FBGN0051244	238	266	340	227	330	188
FBGN0037518	180	102	178	348	308	336
FBGN0004359	1970	2950	2286	1970	2324	2441
FBGN0039622	4	32	1	34	15	2
FBGN0037447	255	103	242	126	111	37
FBGN0011768	12766	14644	13307	10881	11584	13785
FBGN0051313	53	51	348	43	49	54
FBGN0038578	4022	3770	3958	3490	4436	4280
FBGN0037834	8738	7917	8278	9673	11452	10628
FBGN0039744	4	1	8	2	0	0
FBGN0051453	5148	5474	5031	4805	5528	5566
FBGN0038603	6983	8014	7396	5354	5701	6420
FBGN0038830	2219	2075	1824	1507	2201	1960
FBGN0020280	20	15	32	42	6	32
FBGN0051363	11746	12534	10542	9796	11126	11204
FBGN0039473	9	21	52	0	7	11
FBGN0266538	114	161	112	163	186	148
FBGN0038068	13	0	40	35	26	18
FBGN0266672	6056	7031	6968	6394	6540	6908
FBGN0038545	2114	2494	2206	2042	2479	2817
FBGN0037519	9	16	55	8	32	17
FBGN0287225	7509	7400	7201	5734	6311	6678
FBGN0051266	0	0	33	19	10	0
FBGN0015402	6453	8106	7577	5045	5177	6179
FBGN0038788	1569	1872	1336	1179	1358	1579
FBGN0003525	11936	14268	15247	14833	15001	18351
FBGN0259823	67	52	50	42	84	65
FBGN0264740	36	15	27	11	14	10
FBGN0039521	1	2	49	6	4	0
FBGN0039737	11612	12372	13519	11727	12721	12476
FBGN0037529	4143	3752	3764	2963	3533	3408
FBGN0051097	8	17	3	19	6	0
FBGN0037728	16234	16462	16319	13606	15670	16334
FBGN0039802	2254	2115	2060	2405	3372	2886
FBGN0038240	0	43	24	1	41	22
FBGN0038147	32	59	619	11	19	18
FBGN0286874	1	0	6	11	10	0
FBGN0039266	2612	3042	2728	3383	3438	3106
FBGN0051262	53	90	89	125	205	108
FBGN0026315	35	96	259	14	48	52
FBGN0038547	513	566	327	266	304	253
FBGN0043900	8742	8480	8158	7785	8757	8171
FBGN0038606	30	75	34	49	26	7
FBGN0037978	1412	1223	1422	906	1130	1563
FBGN0038810	9439	10128	9357	7800	9061	8983
FBGN0046887	10	2	10	4	23	26
FBGN0052945	5	0	4	37	5	11
FBGN0038269	6574	6966	7024	6097	7274	7248
FBGN0039714	459	721	951	630	849	718
FBGN0037410	522	373	557	502	551	780
FBGN0020399	19	97	36	48	47	46
FBGN0051361	117	47	27	195	107	109
FBGN0039023	34	38	224	41	44	16
FBGN0037637	1106	1203	1159	1061	1370	1360
FBGN0000158	22	4	89	16	100	44
FBGN0085318	4	2	0	0	0	2
FBGN0039207	4440	4764	4632	4761	5840	5523
FBGN0266801	1552	1846	1620	1665	2060	2087
FBGN0038732	21	13	10	20	17	3
FBGN0039861	3427	3439	3013	3232	3474	3094
FBGN0039180	15	49	9	10	17	38
FBGN0039238	59	72	164	384	170	141
FBGN0038655	33	0	16	37	3	0
FBGN0038016	11168	10976	10867	9843	9985	10393
FBGN0037364	1759	2112	1756	1558	1559	1917
FBGN0037884	2027	2182	2078	2151	2238	2446
FBGN0262009	3	3	6	2	3	5
FBGN0250845	28	0	10	6	10	1
FBGN0264907	32	72	26	81	72	37
FBGN0039752	10	25	22	28	10	30
FBGN0038236	10	4	24	1	12	5
FBGN0038139	34	19	64	101	34	66
FBGN0029155	2760	3273	3524	2449	1827	1989
FBGN0085329	10	7	6	8	6	12
FBGN0004173	0	4	0	4	8	7
FBGN0051347	12	22	0	3	6	0
FBGN0037377	2424	1691	1967	2877	3756	3566
FBGN0037482	1322	1541	1579	1807	1682	1829
FBGN0015279	9122	9642	9824	8471	9284	9436
FBGN0039809	318	247	354	185	200	129
FBGN0051357	2535	2858	2917	2732	3029	3460
FBGN0037601	35	150	71	38	20	31
FBGN0265158	0	0	9	0	12	3
FBGN0051198	52	28	318	79	28	22
FBGN0039328	640	635	904	777	710	682
FBGN0037411	4	15	20	19	6	13
FBGN0039863	24580	27114	26894	23734	25773	24040
FBGN0086362	1645	1714	1527	1532	1548	1650
FBGN0016650	64	64	78	89	45	39
FBGN0038186	2	37	11	4	4	0
FBGN0039765	622	654	640	569	593	665
FBGN0002863	0	0	0	1	3	0
FBGN0038595	27	5	41	43	8	33
FBGN0038581	431	385	367	658	684	626
FBGN0038803	1758	1491	1660	1950	1923	2617
FBGN0087005	60	115	87	140	83	148
FBGN0039691	3241	3433	3203	2637	2861	3162
FBGN0027889	11326	9354	9880	9167	10151	10481
FBGN0039732	530	805	602	352	582	430
FBGN0262801	7708	9042	9149	6573	8489	8686
FBGN0037807	27	27	51	54	71	43
FBGN0038079	242	303	167	92	118	102
FBGN0263024	6	0	1	0	6	3
FBGN0010042	7	1	32	3	6	6
FBGN0263353	86	192	190	102	43	61
FBGN0260243	5651	5322	5529	3814	4279	4319
FBGN0039694	13	9	64	23	12	23
FBGN0051145	87	223	387	176	135	108
FBGN0039848	177	282	250	286	213	236
FBGN0053773	6	0	0	23	6	0
FBGN0051248	0	52	8	25	41	27
FBGN0087021	1100	1005	1155	1362	1614	1407
FBGN0037934	4	32	148	31	30	18
FBGN0037998	3302	2830	3529	2668	2733	2767
FBGN0263402	8	0	0	10	5	17
FBGN0039010	18	8	32	41	24	12
FBGN0038034	382	592	2033	243	255	298
FBGN0015240	1744	1839	2055	1738	1859	1826
FBGN0038470	1214	1572	1548	1236	1421	1096
FBGN0069923	238	357	423	197	324	141
FBGN0002772	212	478	491	547	461	288
FBGN0038110	3339	3530	3737	2344	2900	2833
FBGN0003267	23	8	11	12	22	42
FBGN0285963	8606	9421	9274	11067	10758	11095
FBGN0259237	19	22	49	40	54	17
FBGN0083965	3	0	22	43	14	7
FBGN0038725	202	94	162	108	108	112
FBGN0260463	46791	51157	47445	20189	21351	22827
FBGN0016123	20	26	32	37	11	10
FBGN0038695	27	56	89	94	29	15
FBGN0037602	152	103	102	116	256	197
FBGN0037841	72	102	35	75	128	61
FBGN0038006	15	18	42	31	29	8
FBGN0053329	14	34	74	124	144	62
FBGN0027376	50	38	116	74	75	68
FBGN0038804	491	664	450	979	963	924
FBGN0039846	2728	2916	2929	2116	2551	2624
FBGN0039050	26	32	55	30	59	17
FBGN0085319	8	31	137	6	3	0
FBGN0085331	2	20	0	9	0	0
FBGN0037326	35	18	12	35	13	17
FBGN0037320	577	607	394	480	407	379
FBGN0037923	524	472	409	388	329	333
FBGN0037812	38	12	31	44	44	5
FBGN0037731	1101	1203	1400	848	879	594
FBGN0003480	190	103	114	251	136	307
FBGN0004395	8554	8442	8513	9844	9815	9628
FBGN0039805	60	39	55	70	20	42
FBGN0000439	72	27	61	81	31	51
FBGN0037853	352	414	491	1075	1027	1359
FBGN0020910	224630	243177	228656	194998	218264	234564
FBGN0053654	0	11	5	6	11	0
FBGN0037547	2	9	48	26	12	10
FBGN0052856	1223	1294	1002	908	1058	932
FBGN0037546	75	73	106	66	74	71
FBGN0051005	905	894	845	798	484	576
FBGN0039728	13321	14412	13746	12562	12819	14301
FBGN0086370	1453	1368	1880	736	713	818
FBGN0038123	18	4	24	0	12	4
FBGN0039326	0	0	8	28	5	23
FBGN0267435	869	1206	1077	596	770	858
FBGN0037288	6	1	4	23	12	7
FBGN0039026	12553	14231	12896	9406	10106	10254
FBGN0037937	30	11	15	29	2	11
FBGN0038862	4150	3415	4237	2778	3396	3483
FBGN0039733	2459	2814	3042	2692	2644	2853
FBGN0015269	10564	11283	11944	12031	13120	11831
FBGN0027785	2880	3141	2974	2408	2748	3332
FBGN0002932	2179	2000	2183	1742	1863	2097
FBGN0038675	1262	1551	1348	854	1152	1195
FBGN0083953	263	420	336	326	376	339
FBGN0038734	31	8	72	46	26	23
FBGN0085391	10	34	51	49	31	43
FBGN0027497	6291	6717	6454	5267	5780	6085
FBGN0038432	735	739	587	633	677	712
FBGN0086704	370	455	468	83	176	129
FBGN0037972	2821	2870	2272	2711	3143	3261
FBGN0039441	54	72	14	5	18	1
FBGN0039788	10	25	4	24	28	14
FBGN0263757	1015	1156	1245	927	1148	1042
FBGN0000244	1891	2263	2204	1975	2142	2225
FBGN0038977	4	14	34	20	57	15
FBGN0038205	0	36	60	16	5	10
FBGN0261086	83	34	83	175	57	63
FBGN0053340	16	4	37	27	25	0
FBGN0027865	1984	1914	1918	1633	2251	1877
FBGN0039338	24245	26902	27020	18577	20953	20735
FBGN0267336	2815	3328	3249	1845	1821	1898
FBGN0037313	2854	3045	2647	2747	2949	2774
FBGN0037276	52	90	33	52	73	70
FBGN0259178	1629	1813	1963	2083	1998	1995
FBGN0038127	0	1	19	5	5	16
FBGN0261550	6215	6045	6069	6418	7115	7092
FBGN0039479	1710	1955	1697	1294	1696	1876
FBGN0038577	2794	2781	2408	2343	2923	2458
FBGN0039855	74	50	27	35	99	69
FBGN0040623	2782	3160	2786	3138	3599	3807
FBGN0038250	47	48	174	62	25	68
FBGN0038129	2839	2710	3162	2220	2483	2782
FBGN0037870	6	0	14	4	2	2
FBGN0051550	8216	8929	8328	8427	8272	8256
FBGN0037396	50	67	39	29	103	29
FBGN0038629	1841	1727	1838	1509	1679	1971
FBGN0039113	16156	16821	14317	13342	14766	15531
FBGN0051465	17	30	43	50	55	27
FBGN0015577	55	54	161	66	94	53
FBGN0037856	2274	2702	1817	2701	2996	2916
FBGN0037718	5820	6093	6730	5187	6289	6738
FBGN0038320	13582	14602	13860	11369	12260	13726
FBGN0039864	1059	1016	1017	602	905	860
FBGN0051204	46	34	18	49	37	2
FBGN0037615	251	319	309	259	315	273
FBGN0004841	21	13	44	58	22	84
FBGN0038188	17	2	29	51	18	9
FBGN0038095	4	44	619	26	14	45
FBGN0051072	1431	1689	3210	1742	1816	2107
FBGN0038912	940	1041	1076	878	1135	1125
FBGN0001297	12148	14212	11692	8160	9211	8961
FBGN0022981	1596	1631	1794	1072	1230	1213
FBGN0038466	38	47	608	103	19	32
FBGN0038768	5348	5432	4961	3819	4440	4881
FBGN0038235	820	769	729	864	1158	779
FBGN0037378	1764	1381	1556	1277	1653	1347
FBGN0051221	41	30	26	17	41	16
FBGN0051191	29	57	70	33	39	48
FBGN0038098	78	175	701	96	14	41
FBGN0040551	419	356	262	279	282	144
FBGN0051294	18	14	37	3	11	21
FBGN0039777	16	16	16	87	15	8
FBGN0039407	1181	1363	1118	1109	1205	1385
FBGN0038826	85005	91929	86797	69898	83192	75104
FBGN0038972	675	975	795	224	224	286
FBGN0038525	19	0	11	8	28	14
FBGN0027950	3911	4007	3602	3124	3170	3586
FBGN0038540	49	18	55	5	8	8
FBGN0266615	4	0	17	5	8	4
FBGN0000492	16546	20650	17790	12658	12775	14357
FBGN0003319	10955	15222	13027	6345	8027	7242
FBGN0024289	8	45	321	19	43	29
FBGN0037772	14	6	37	73	42	17
FBGN0260229	168	348	352	228	271	194
FBGN0038943	1113	469	386	275	579	314
FBGN0023178	10	0	25	6	24	0
FBGN0038662	367	489	483	519	445	515
FBGN0038427	3338	3202	3537	3009	3551	3740
FBGN0003882	3548	3698	3796	3287	4147	4003
FBGN0039040	8	0	19	40	26	11
FBGN0259917	11	0	3	4	12	0
FBGN0039634	3938	4706	4047	3491	3561	4113
FBGN0001197	27378	27991	26812	22815	26438	27247
FBGN0026634	2656	2733	2582	2230	2623	2846
FBGN0038438	1067	1169	1523	967	1247	1082
FBGN0037368	686	615	801	551	675	447
FBGN0261113	31315	32528	30956	25365	26875	25291
FBGN0019940	7	8	18	14	4	5
FBGN0039355	901	940	743	598	978	698
FBGN0039346	18	7	0	41	4	10
FBGN0038038	712	859	1961	1482	1591	1455
FBGN0039562	55258	65449	62811	50405	54405	55967
FBGN0261049	1363	1242	1108	848	1296	870
FBGN0004618	52	55	38	48	61	156
FBGN0038569	2064	2637	2418	2033	2161	2409
FBGN0037436	8	16	7	11	2	1
FBGN0039045	114	135	125	62	37	59
FBGN0042106	24	137	71	25	26	21
FBGN0002937	18	17	11	52	16	18
FBGN0038961	1887	2103	1793	1818	2254	1629
FBGN0027527	4	15	25	26	17	15
FBGN0038873	35	35	22	74	32	4
FBGN0265048	173	413	886	339	345	340
FBGN0037419	1	26	5	7	0	8
FBGN0038504	5452	5961	6033	5430	6376	5930
FBGN0037835	60	12	31	13	9	8
FBGN0037351	101398	117057	104842	101508	104743	121450
FBGN0003358	16	0	0	18	32	0
FBGN0288835	0	0	4	0	0	0
FBGN0014949	0	3	2	5	0	0
FBGN0264776	17	5	0	16	5	0
FBGN0000504	3990	3812	3719	4201	3897	4283
FBGN0037440	2920	3493	3957	2432	2688	2683
FBGN0016061	655	981	663	377	299	265
FBGN0038498	17	8	11	34	11	26
FBGN0042103	14	22	18	35	1	4
FBGN0051111	312	391	372	444	420	407
FBGN0262588	15	36	12	12	5	23
