Geneid	RpS12_C_RNA	RpS12_B_RNA	RpS12_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0039067	1645	1408	1661	1518	1511	1513
FBGN0087012	33	56	103	58	34	62
FBGN0039555	2858	2768	2430	2593	2747	3050
FBGN0053970	865	756	881	1017	1346	1575
FBGN0085326	11	10	20	16	23	9
FBGN0037538	3170	3796	3861	4087	4170	4748
FBGN0086768	2873	3632	3017	2865	3092	3166
FBGN0038722	4264	4238	4237	4079	4816	5075
FBGN0259244	11717	15721	12655	7084	7936	8419
FBGN0037481	507	459	554	755	818	928
FBGN0039810	0	0	3	1	6	0
FBGN0040534	760	515	649	735	911	666
FBGN0014135	962	1205	1151	732	873	932
FBGN0039058	22	24	10	11	10	1
FBGN0085308	5	15	178	8	87	22
FBGN0051119	13	0	5	10	18	0
FBGN0037625	6	0	9	30	16	51
FBGN0262559	6119	7334	9698	5348	5400	6336
FBGN0051528	20	17	5	9	21	10
FBGN0278600	0	0	0	0	2	0
FBGN0038369	2954	2810	2641	2542	2971	3087
FBGN0039483	12	11	9	17	12	4
FBGN0040679	0	0	1	5	3	1
FBGN0039663	2195	2710	2596	2032	2357	2037
FBGN0046332	88	52	76	27	38	52
FBGN0046214	48565	50819	48109	46441	51101	53419
FBGN0037655	5214	6119	5975	4892	5574	5959
FBGN0038692	2252	2091	2130	1860	2344	2128
FBGN0263401	3	0	13	3	7	0
FBGN0000036	44	84	49	257	202	203
FBGN0038397	33	70	98	139	105	83
FBGN0037467	4753	4996	4761	3944	4478	4452
FBGN0039778	29	37	2	40	11	6
FBGN0039169	5231	5353	4911	5632	5388	5271
FBGN0000015	39	32	78	84	38	59
FBGN0010247	9288	10677	10618	4911	5700	4563
FBGN0037607	34325	33524	34740	30402	34145	37018
FBGN0261847	0	21	286	12	4	8
FBGN0039449	1344	1490	1473	1362	1183	1441
FBGN0037798	21	1	0	19	5	12
FBGN0261789	4741	4198	4430	4262	4621	4798
FBGN0002542	11934	11915	11685	12948	15064	15014
FBGN0015790	11479	12577	12465	9826	12135	12186
FBGN0053339	1	6	0	29	5	16
FBGN0043799	983	932	982	966	1024	1110
FBGN0038450	52	36	96	20	17	12
FBGN0086613	10701	11303	11257	8366	9682	8673
