Geneid	RpS3_Xrp1_C_RNA	RpS3_Xrp1_B_RNA	RpS3_Xrp1_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0038691	24	0	27	6	10	19
FBGN0039069	100	122	97	116	100	119
FBGN0037829	81	42	48	38	38	21
FBGN0016120	14114	14703	10707	10036	11101	11596
FBGN0005596	5677	5201	4380	6744	6948	7739
FBGN0038179	789	1029	684	747	984	883
FBGN0262540	8	0	18	7	2	9
FBGN0040071	19019	17249	14432	21557	22379	23321
FBGN0038423	12	43	8	23	8	13
FBGN0045862	11359	10653	8228	10291	11728	12780
FBGN0051259	34	52	65	18	34	53
FBGN0038251	3320	3181	2472	3000	3460	3432
FBGN0038797	23	20	34	12	45	6
FBGN0053483	27	6	12	5	8	0
FBGN0039140	4022	4146	3136	3502	3646	3992
FBGN0038428	2458	2974	2045	1928	2618	2429
FBGN0037770	8874	9403	7220	9108	10441	10763
FBGN0259194	16	36	46	45	24	13
FBGN0085417	596	518	328	457	422	529
FBGN0083991	7	0	6	1	0	0
FBGN0003093	2674	3165	2258	4164	4155	4488
FBGN0045866	6029	6841	5088	3318	4834	4868
FBGN0028468	1784	2057	1721	1490	1518	1813
FBGN0037908	22	27	27	38	40	31
FBGN0039754	1337	1015	1060	927	1091	1444
FBGN0038919	897	1005	658	1417	1455	1464
FBGN0038105	49	26	18	36	21	12
FBGN0003479	1163	1181	923	871	927	1013
FBGN0051371	29	19	24	29	36	16
FBGN0038244	8768	9371	7276	9706	9969	11102
FBGN0037249	41427	43066	34126	45908	51267	55511
FBGN0039041	0	0	6	3	0	0
FBGN0038084	54	17	12	20	9	14
FBGN0024957	6505	6471	5190	5950	6813	7091
FBGN0286741	13	10	3	5	6	4
FBGN0026620	18455	20006	14963	20789	23149	23231
FBGN0051213	166	222	223	180	77	62
FBGN0085431	65	30	34	25	22	10
FBGN0263995	1150	1172	822	1023	1091	1069
FBGN0011290	3682	3787	2657	2224	2604	2278
FBGN0037521	64	79	29	11	14	16
FBGN0037347	2051	1913	1530	1176	1843	1570
FBGN0022359	116	156	62	23	24	39
FBGN0265189	2149	2840	2112	1993	2432	2653
FBGN0053108	627	527	414	298	476	459
FBGN0038013	2428	2647	2184	1834	2193	1666
FBGN0051091	32	77	14	11	2	22
FBGN0264495	19402	18286	13014	22738	24549	24467
FBGN0038558	16	17	17	3	7	12
FBGN0014342	1204	1273	790	844	981	1100
FBGN0086686	22084	20408	16924	21113	21966	22952
FBGN0003357	2903	3418	3034	334	31	58
FBGN0039508	6252	5603	4386	4511	5771	6042
FBGN0016119	3993	3585	2917	2435	2548	2809
FBGN0263403	0	0	0	0	0	1
FBGN0264903	0	9	13	0	0	8
FBGN0039645	139	99	71	49	70	34
FBGN0039209	2170	2137	1770	3487	3484	3517
FBGN0016691	12259	12819	10613	8794	9360	10844
FBGN0038550	31	34	49	3	5	15
FBGN0053293	75	29	50	108	47	71
FBGN0038767	1403	1423	1111	1193	1466	1100
FBGN0039739	3	0	3	16	7	4
FBGN0039349	2134	2376	1751	1815	2303	2281
FBGN0038414	65	74	32	42	18	14
FBGN0004629	184	198	129	42	168	286
FBGN0011582	60	34	42	46	30	30
FBGN0037562	16	0	20	2	0	0
FBGN0042110	42	31	28	13	1	10
FBGN0039681	71	53	34	16	16	27
FBGN0038705	82	28	33	30	40	24
FBGN0051211	12248	12642	8926	14058	14772	14137
FBGN0038690	14	20	24	44	12	28
FBGN0040529	9941	9970	9172	10075	10425	10599
FBGN0039027	54	65	18	27	3	9
FBGN0285937	9277	10459	7827	5228	6763	6183
FBGN0039656	45	107	50	41	71	20
FBGN0014380	706	586	445	652	791	513
FBGN0037664	1716	1877	1392	1089	1146	1122
FBGN0004436	6091	5944	4611	3610	4320	3307
FBGN0001149	41407	44064	32820	24463	27946	28188
FBGN0037635	80	67	46	36	40	17
FBGN0004554	73	90	94	79	24	26
FBGN0038851	8	3	14	16	14	16
FBGN0039172	6551	6770	5421	4768	5462	5815
FBGN0000416	25445	27222	20188	23473	26020	26012
FBGN0003330	3519	3697	2842	2789	3149	3551
FBGN0004782	67	50	74	54	11	19
FBGN0037502	65	32	33	31	9	18
FBGN0038134	30	0	4	39	15	12
FBGN0283536	4954	4866	3721	4118	4384	5243
FBGN0038285	40	34	22	46	88	37
FBGN0038871	371	531	332	269	447	380
FBGN0037780	2600	2830	2109	1905	2291	2270
FBGN0038516	187	256	151	72	147	86
FBGN0038509	724	519	664	24	9	6
FBGN0037534	141	288	106	47	80	49
FBGN0039451	4084	4211	3576	3698	3938	4158
FBGN0039770	39	42	70	20	4	15
FBGN0263740	15475	14831	12338	9023	10552	10546
FBGN0001138	9660	10854	8319	11851	12333	13445
FBGN0261929	91	101	76	90	58	38
FBGN0039684	35	0	5	0	16	9
FBGN0039280	1317	1459	1067	811	987	762
FBGN0051410	26	0	1	0	29	0
FBGN0003257	5122	5099	4429	4076	4954	5559
FBGN0001169	13826	14197	11303	16652	18645	18645
FBGN0038993	49	53	37	19	52	27
FBGN0038054	38	103	96	66	78	92
FBGN0053192	9	5	2	11	3	0
FBGN0037721	4012	4005	2938	3975	4654	4829
FBGN0086361	11418	10841	9534	12304	12601	13303
FBGN0037779	1625	1686	1012	1318	1344	1471
FBGN0260743	1150	1118	914	819	1052	1199
FBGN0002941	148	103	87	116	44	54
FBGN0037742	223	347	236	205	228	184
FBGN0037997	7	16	5	8	7	1
FBGN0025821	7	10	12	4	10	0
FBGN0051038	3403	3339	2504	4939	5308	5682
FBGN0039689	583	928	555	509	429	467
FBGN0039554	4090	4985	3517	3229	3734	3990
FBGN0039250	8989	9273	7549	10810	11290	11359
FBGN0037592	1466	1842	1412	1409	1381	1453
FBGN0028997	1555	1314	1081	1117	995	1083
FBGN0011666	10267	9151	7148	11584	12854	13071
FBGN0037500	58	6	21	6	15	0
FBGN0284081	10	0	4	3	3	10
FBGN0262975	10557	10902	8585	12819	13523	13544
FBGN0262167	8044	8826	6351	9924	10340	10699
FBGN0000064	13730	13210	10404	12241	13836	16654
FBGN0038163	42	108	61	36	34	10
FBGN0039149	1191	1278	1016	850	937	795
FBGN0027109	11	0	2	2	0	5
FBGN0038425	937	910	650	578	679	610
FBGN0038482	12	30	9	17	14	6
FBGN0250832	11	0	0	9	0	5
FBGN0037643	7856	8702	6812	6029	6532	7221
FBGN0267236	6	0	6	2	0	2
FBGN0038140	116	38	91	34	44	43
FBGN0061476	2396	2607	1757	2135	2593	2346
FBGN0038122	44	64	9	9	23	4
FBGN0029170	93	61	125	69	64	49
FBGN0003450	22	46	28	16	5	7
FBGN0039596	30	26	48	34	10	13
FBGN0038490	335	375	237	152	182	131
FBGN0039106	19	22	17	12	1	7
FBGN0039335	2405	2479	1853	1748	1681	1912
FBGN0038879	26	5	14	36	14	29
FBGN0037336	10359	10841	8571	9887	10764	10861
FBGN0003651	1943	1741	1631	1927	1853	2060
FBGN0037690	22	39	7	7	21	31
FBGN0038106	1777	1505	1199	1282	1251	1391
FBGN0001321	4580	4616	3823	3005	3665	3642
FBGN0037225	33	53	17	25	13	8
FBGN0038082	15	56	32	28	22	15
FBGN0005355	3141	3008	2447	2408	2608	2991
FBGN0000150	87919	98496	77900	64509	66158	77705
FBGN0037577	23	22	7	4	15	8
FBGN0038866	286	341	180	320	311	295
FBGN0038429	1317	1197	935	891	1117	1172
FBGN0038981	3648	3843	2646	2930	3180	3379
FBGN0262144	5	3	8	5	2	0
FBGN0038654	6	11	5	15	1	3
FBGN0039789	31	84	58	76	22	41
FBGN0039589	2337	1961	1642	1823	1753	1767
FBGN0039591	36	95	28	15	1	17
FBGN0039718	7	48	10	1	12	0
FBGN0038241	34	91	73	0	21	8
FBGN0038018	18	3	10	21	19	11
FBGN0038715	34	42	56	37	34	16
FBGN0039478	101	113	78	33	13	43
FBGN0004117	1587	1915	1420	406	482	213
FBGN0028708	2487	2613	1995	1427	1551	1818
FBGN0046222	7241	7848	5953	5598	6570	6979
FBGN0039637	1832	2226	1530	1705	1910	1932
FBGN0283477	13387	15623	12292	11286	13116	14035
FBGN0039370	34	4	12	9	0	5
FBGN0038126	3560	3137	2787	1246	1608	1350
FBGN0265101	2959	2677	2103	2439	2361	2462
FBGN0015019	38141	38741	30460	28685	31874	34129
FBGN0051068	87	110	48	28	43	20
FBGN0037218	10363	10156	7830	7588	8351	8235
FBGN0011670	9	6	14	1	19	2
FBGN0000527	1554	1841	1456	38	147	127
FBGN0037613	339	433	331	196	331	307
FBGN0027608	203	122	161	55	95	54
FBGN0051477	98	90	104	103	101	58
FBGN0267431	135	152	97	112	79	122
FBGN0039563	3723	4213	2927	3469	3926	3855
FBGN0261046	224	161	168	155	101	120
FBGN0263398	2739	2878	2062	2448	2371	2792
FBGN0046885	39	32	27	57	9	39
FBGN0004577	283	316	225	403	198	321
FBGN0003308	855	859	814	679	588	838
FBGN0038818	80	124	88	60	39	28
FBGN0039736	44	95	129	72	30	41
FBGN0037531	1519	1496	1301	1099	862	818
FBGN0266405	10	6	12	7	14	15
FBGN0013949	57	22	54	39	36	53
FBGN0044809	17	10	31	13	27	18
FBGN0262614	66390	63965	51101	70644	76750	80480
FBGN0051115	45	18	20	26	10	4
FBGN0260962	20876	20419	16067	14610	16473	16938
FBGN0037606	1121	1142	946	1097	1063	1146
FBGN0038976	5310	5596	4354	2923	3400	3740
FBGN0037517	85	60	56	48	13	26
FBGN0051326	28	39	35	32	36	12
FBGN0039309	24	20	31	50	10	7
FBGN0021750	2281	2588	2000	2241	2490	2863
FBGN0002862	11	0	8	7	0	0
FBGN0260399	3109	3423	2542	3751	3916	3998
FBGN0261994	12	30	27	12	8	0
FBGN0039677	64	67	30	26	24	40
FBGN0037387	114	72	50	20	21	21
FBGN0038313	1636	1554	1262	932	1252	1187
FBGN0039369	38	52	7	12	13	9
FBGN0037238	59	92	84	30	33	19
FBGN0025808	1410	1351	963	878	1036	878
FBGN0260759	558	814	621	466	472	375
FBGN0039115	1352	1300	905	675	784	771
FBGN0037737	2300	2537	2094	1737	2248	2145
FBGN0037350	406	533	387	239	285	416
FBGN0037515	222	325	214	90	155	140
FBGN0037340	698	803	731	490	482	674
FBGN0038849	34	21	20	26	22	9
FBGN0261932	83	104	55	7	3	6
FBGN0001112	1496	1351	1078	523	650	635
FBGN0039875	4284	3578	3422	3868	3894	4036
FBGN0037365	0	31	25	10	11	20
FBGN0039811	19	10	0	20	2	0
FBGN0053213	955	938	800	679	874	1015
FBGN0037962	33	57	47	37	26	29
FBGN0003429	240	147	208	107	73	102
FBGN0011725	5767	6651	4840	5012	5737	5711
FBGN0263399	9	16	1	6	3	1
FBGN0051121	6742	6658	5467	6557	7073	8208
FBGN0062411	77	39	14	4	9	2
FBGN0051354	95737	93926	70212	9248	13009	9470
FBGN0264816	3536	3403	2936	2181	2328	2140
FBGN0037758	4578	5012	3933	3312	3776	3682
FBGN0037916	35	90	65	21	46	50
FBGN0038055	1368	1320	1049	1457	1634	1532
FBGN0026598	5550	5961	3972	5721	6021	6576
FBGN0262808	38	34	24	6	3	3
FBGN0038546	3007	3789	2974	3870	3489	3948
FBGN0011745	7230	7216	6069	4989	5653	5886
FBGN0037406	23	38	20	12	5	11
FBGN0039034	18	14	13	13	22	3
FBGN0004369	16034	14787	11900	15976	17230	16024
FBGN0039598	48	30	27	17	6	8
FBGN0266581	12270	12067	10601	6816	8165	7769
FBGN0261393	61	17	62	7	67	53
FBGN0085345	124	155	69	38	103	75
FBGN0039161	768	700	516	64	71	122
FBGN0000591	1486	1396	1084	1025	1415	1370
FBGN0039494	1360	1514	1215	1841	1723	2159
FBGN0260794	75226	71186	56531	81159	90829	88978
FBGN0039031	156	170	123	18	40	12
FBGN0014141	30228	29913	23357	39729	42755	46012
FBGN0262562	575	652	459	586	477	559
FBGN0003275	6407	6113	5139	4601	5184	4937
FBGN0270925	80	139	95	67	80	63
FBGN0083974	38	13	25	30	11	4
FBGN0260237	848	734	564	566	720	769
FBGN0026063	4040	4406	2989	3984	3853	4079
FBGN0038158	3	1	4	3	4	39
FBGN0013347	7477	7063	5823	4809	5093	5097
FBGN0051269	23	34	32	13	10	12
FBGN0037844	89	80	50	15	48	64
FBGN0040271	7041	8319	6058	6828	7451	6562
FBGN0039495	24	54	28	11	8	8
FBGN0038124	19	49	24	20	12	0
FBGN0039431	6421	7354	4908	9156	10810	10300
FBGN0025571	15775	16245	12582	20615	22397	23594
FBGN0037554	2423	2473	1952	2004	2240	2418
FBGN0037284	20	1	7	1	1	0
FBGN0022787	9015	9614	7865	9962	11422	11704
FBGN0038795	8	14	34	12	10	8
FBGN0015011	179	159	194	79	135	60
FBGN0042111	6990	7575	5805	6846	7925	8351
FBGN0003129	109	38	28	29	56	4
FBGN0038511	2184	1873	1700	1248	1675	1186
FBGN0037536	4824	5253	3896	4174	4590	4974
FBGN0037931	1709	1835	1409	1583	1458	1940
FBGN0038855	3306	3123	2792	2458	2935	3415
FBGN0039359	56657	63364	42681	54931	65772	65748
FBGN0000564	29	36	18	19	5	0
FBGN0026441	5712	5806	4404	5942	6178	6349
FBGN0038237	107	66	85	119	33	51
FBGN0037514	8	43	6	20	24	8
FBGN0038033	53	27	47	40	38	21
FBGN0039319	58	78	55	14	23	6
FBGN0039395	45	13	14	8	15	22
FBGN0265351	497	636	554	434	494	408
FBGN0262576	28	12	18	20	8	6
FBGN0085311	33	5	30	9	4	84
FBGN0004174	5	0	3	13	6	4
FBGN0039291	730	651	544	370	332	341
FBGN0051021	49	72	64	66	29	22
FBGN0037583	3318	3462	2545	3197	3508	3265
FBGN0051441	567	447	505	343	377	322
FBGN0051374	893	748	634	285	267	208
FBGN0039102	111	69	118	115	103	124
FBGN0039638	2742	2582	2027	2407	2915	2919
FBGN0025802	5014	4959	4113	4700	5640	5216
FBGN0037344	37110	36689	27827	41151	43036	42963
FBGN0053193	5128	4844	3540	3883	4132	5110
FBGN0037751	116	54	49	30	18	21
FBGN0026562	2930	2728	2436	2276	2923	3394
FBGN0039703	23	20	12	2	22	10
FBGN0038348	216	89	134	96	50	114
FBGN0010808	3799	4202	3095	2422	2400	2483
FBGN0038942	31	14	6	4	9	8
FBGN0264741	0	15	20	17	0	3
FBGN0039219	4487	4704	3549	3217	4397	4107
FBGN0037850	559	395	475	8	18	6
FBGN0039008	45	86	70	12	20	1
FBGN0037468	19548	21493	15361	14849	17100	16852
FBGN0037420	33	28	48	10	5	1
FBGN0250753	55288	59332	41314	39400	50392	44768
FBGN0015831	87	22	46	19	23	21
FBGN0039719	26	18	5	7	11	7
FBGN0259685	30599	30819	24747	26387	28553	27396
FBGN0003249	10	33	25	21	10	0
FBGN0000139	4170	3633	2873	2767	3200	3269
FBGN0017567	3236	2897	2712	2404	2374	2568
FBGN0261285	833	825	609	1015	910	1184
FBGN0037230	36	57	30	18	24	46
FBGN0045468	40	48	42	10	6	13
FBGN0003513	3791	3883	3119	4115	5259	5320
FBGN0053927	27	22	12	1	12	9
FBGN0024944	117	78	47	54	26	54
FBGN0037707	5615	5747	4994	5268	6745	7093
FBGN0267106	0	1	4	1	9	0
FBGN0038395	435	339	287	414	519	420
FBGN0287598	180	216	128	102	130	45
FBGN0038001	23	22	8	3	2	40
FBGN0037671	6733	7569	5769	6515	6852	8068
FBGN0039665	3949	4068	2917	3025	3115	3595
FBGN0039006	663	519	488	467	595	772
FBGN0037228	148	410	300	43	78	62
FBGN0038709	14	11	17	17	2	1
FBGN0010328	43035	40908	34900	47072	50447	52065
FBGN0038746	6651	6191	5071	3352	3986	4063
FBGN0037717	72	15	32	40	31	32
FBGN0038983	1464	1218	1013	1657	1724	2054
FBGN0044812	24	1	20	6	5	8
FBGN0038020	1240	856	881	355	405	357
FBGN0037836	370	180	246	179	149	172
FBGN0086365	2009	2122	1503	2128	2553	2474
FBGN0016672	1257	1299	997	1059	1160	1585
FBGN0004387	6141	5860	5324	5186	5721	5793
FBGN0024491	3712	3751	3202	2616	2733	2659
FBGN0037537	14912	15144	12126	10207	11873	11625
FBGN0261532	6009	6431	5030	6159	6129	6761
FBGN0010040	81	35	24	5	27	49
FBGN0037323	1021	1120	963	369	564	429
FBGN0262112	183	210	134	133	180	98
FBGN0039474	22	51	43	35	5	12
FBGN0004587	41230	44001	35980	32694	35997	37929
FBGN0038051	7	42	15	20	12	0
FBGN0038396	1842	1564	1259	1288	1326	1083
FBGN0000279	8	18	11	7	6	14
FBGN0038918	55	45	57	85	21	34
FBGN0039350	7346	7443	5962	7511	8414	8468
FBGN0261502	28	21	14	33	4	7
FBGN0002633	1352	1426	1147	887	774	979
FBGN0041102	16	23	9	13	6	0
FBGN0051324	227	325	176	44	64	40
FBGN0250757	363	302	257	253	92	111
FBGN0020249	3687	3995	2833	2801	3409	3500
FBGN0039321	18	32	17	49	25	15
FBGN0039804	2191	2258	1770	2002	2564	2762
FBGN0003205	4956	5647	4394	4751	5646	6066
FBGN0002413	6597	6968	5234	6165	6718	7144
FBGN0085309	13	25	19	3	2	0
FBGN0038011	118	139	8	69	32	50
FBGN0038194	38	48	57	34	34	11
FBGN0261238	23512	22977	18165	25088	27363	26137
FBGN0086605	4138	4668	3476	3512	3780	3286
FBGN0037430	28	7	42	36	2	12
FBGN0039659	97	64	59	71	21	20
FBGN0037384	1789	1770	1458	1478	1532	1723
FBGN0038419	109	75	42	80	56	90
FBGN0038975	220	163	158	125	82	50
FBGN0038000	35	55	38	21	26	45
FBGN0037815	1556	1661	1310	1090	1172	1114
FBGN0038927	6746	7186	5323	4896	5056	5116
FBGN0284234	0	0	3	4	2	0
FBGN0038318	3122	3312	2257	3024	3231	3447
FBGN0039679	39	69	43	24	7	12
FBGN0051380	8	27	34	22	1	14
FBGN0037486	66	60	33	44	17	28
FBGN0039588	988	1074	908	885	742	981
FBGN0085433	3253	3070	2502	4221	4841	5183
FBGN0038876	671	934	689	480	563	457
FBGN0038144	79	17	53	29	4	1
FBGN0024909	1779	2039	1497	1440	1469	1243
FBGN0038451	94	40	28	83	32	46
FBGN0037778	1555	1676	1113	998	1128	1034
FBGN0038901	22	1	13	25	10	7
FBGN0267651	0	0	0	0	0	0
FBGN0004778	37	35	11	27	11	14
FBGN0015229	3366	3106	2418	2897	3585	3323
FBGN0051501	41	39	18	7	12	7
FBGN0027873	4248	3589	3231	3228	3358	3602
FBGN0283499	17006	16526	12948	17521	19659	17946
FBGN0038512	10	28	9	9	1	7
FBGN0027617	2706	3348	2358	2359	2685	2660
FBGN0085325	249	283	156	24	35	136
FBGN0039887	17	21	19	29	34	6
FBGN0038704	5951	5814	5114	4133	4796	4697
FBGN0039498	37	41	10	7	26	20
FBGN0002838	31	24	8	14	5	25
FBGN0259991	221	324	280	321	339	351
FBGN0037520	46	17	29	32	14	26
FBGN0038888	8	19	4	7	2	4
FBGN0286852	38	16	19	16	3	16
FBGN0041707	18	23	26	17	11	12
FBGN0000500	7	20	12	10	0	10
FBGN0038045	58	36	42	14	12	24
FBGN0039271	865	1151	860	883	1004	809
FBGN0039117	5352	5273	3789	4594	5361	5144
FBGN0038506	3	0	14	20	2	1
FBGN0263048	1990	2092	1667	1967	2259	2044
FBGN0004171	33	91	34	34	31	10
FBGN0038957	86	87	49	83	31	59
FBGN0053098	70	19	1	4	18	20
FBGN0038350	94	79	65	135	33	29
FBGN0017581	36907	37931	28728	38949	40461	42396
FBGN0039557	2364	2458	1620	1547	1892	1958
FBGN0024958	5804	5358	4982	4084	4807	4832
FBGN0039872	60	57	43	49	47	53
FBGN0002632	269	324	215	118	182	235
FBGN0039428	6	6	17	16	11	19
FBGN0266455	21	11	9	3	10	2
FBGN0039130	5992	6344	4901	4235	4562	4722
FBGN0037388	25	11	28	16	10	8
FBGN0051253	57	118	54	12	42	12
FBGN0261984	5086	4803	4177	4470	4695	5095
FBGN0051469	91	48	73	40	78	42
FBGN0038761	37	33	11	32	14	19
FBGN0039048	88	80	68	89	53	25
FBGN0265146	0	8	2	0	2	17
FBGN0043791	51	14	11	14	22	12
FBGN0260642	4214	4321	3340	5280	6099	6807
FBGN0038365	677	893	637	612	744	873
FBGN0038029	8	29	38	7	1	4
FBGN0002626	59370	66645	48398	48234	57875	55692
FBGN0267430	96	109	79	57	103	57
FBGN0264490	279	167	177	90	88	110
FBGN0037374	2435	2214	1913	1663	1884	2171
FBGN0266534	92	71	46	42	41	50
FBGN0037988	39	81	16	9	17	27
FBGN0028690	23313	23019	18206	15917	18265	17109
FBGN0051055	79	6	15	31	13	14
FBGN0038420	99	82	77	50	80	78
FBGN0051467	323	332	284	412	286	364
FBGN0250746	14072	15309	10240	11119	12733	12756
FBGN0263390	120	126	87	126	77	57
FBGN0015574	20	72	50	26	7	26
FBGN0046114	1965	1726	1229	1379	1801	1786
FBGN0039299	1359	1473	1125	589	303	438
FBGN0260464	1983	2285	1738	1335	1914	1721
FBGN0051104	34	22	25	8	19	4
FBGN0261395	35	11	5	12	11	0
FBGN0039241	6383	6180	5051	5027	6743	6342
FBGN0053977	633	710	794	279	503	448
FBGN0040582	36	4	10	13	12	5
FBGN0051126	1058	974	867	542	665	820
FBGN0039386	43	139	61	53	20	36
FBGN0038087	25	18	21	24	7	1
FBGN0002781	56656	58537	44703	55113	57650	61517
FBGN0001098	27079	27013	21846	26321	26469	29669
FBGN0038672	573	489	496	496	416	425
FBGN0260224	771	1042	755	497	574	506
FBGN0038814	86	133	91	50	45	36
FBGN0004509	6655	6292	5207	7570	7521	7622
FBGN0038256	765	783	602	677	606	669
FBGN0286976	36	36	14	17	2	10
FBGN0038070	120	128	62	79	32	38
FBGN0037624	37001	37399	30454	25229	29358	27762
FBGN0004862	29	54	31	47	21	15
FBGN0038260	312	258	181	63	135	94
FBGN0017456	20	6	5	6	6	3
FBGN0038701	71	26	51	25	29	14
FBGN0037551	2666	2675	2114	2454	2569	2822
FBGN0037906	41	61	25	46	38	25
FBGN0037240	49085	48713	38362	44656	49801	49207
FBGN0053094	5916	5965	4702	5482	6431	6305
FBGN0037944	4595	4386	3271	4198	4268	4637
FBGN0002733	2382	2605	2019	1979	2524	2554
FBGN0039801	66	44	16	9	2	0
FBGN0052473	12537	10894	8696	11754	13182	12885
FBGN0260742	6737	7261	5136	7035	7535	8017
FBGN0038271	18334	18842	14541	14331	13941	16907
FBGN0020493	11392	11362	9147	11835	13211	12863
FBGN0053208	16833	15816	12198	19706	21559	20888
FBGN0039201	64	44	50	24	20	57
FBGN0039070	44	59	34	49	26	5
FBGN0039077	25	3	12	16	23	3
FBGN0037530	8505	8655	6751	7672	8657	9213
FBGN0263974	390	353	231	347	291	281
FBGN0051446	8	47	31	28	3	8
FBGN0039633	47075	43106	33812	62684	64278	65774
FBGN0051128	0	27	28	26	6	1
FBGN0260760	755	771	652	453	486	602
FBGN0037832	32	36	29	14	15	4
FBGN0260860	1089	1106	817	750	937	775
FBGN0038609	3492	3552	2767	3349	4026	4197
FBGN0039669	49	34	7	6	14	0
FBGN0038859	8	15	7	5	1	5
FBGN0038742	3576	3434	2791	3409	4192	4166
FBGN0039315	38	45	42	23	9	21
FBGN0038327	2353	2231	1618	1602	1616	1824
FBGN0261479	2063	2266	1820	2689	2774	3049
FBGN0013334	3051	3164	2448	3352	3524	3552
FBGN0028670	8592	9306	7372	8136	8434	9667
FBGN0027570	6785	7568	5995	6503	8716	7409
FBGN0266745	56	68	36	26	16	32
FBGN0263351	5453	5426	3850	4372	4895	5378
FBGN0040212	698	779	621	893	928	1245
FBGN0039184	117	114	63	47	93	40
FBGN0003137	75674	74778	61476	60910	71353	61923
FBGN0261356	62	22	21	5	31	0
FBGN0046878	31	20	21	21	14	0
FBGN0037741	2396	2385	2118	2133	2553	2230
FBGN0038475	1515	1316	1051	1297	1470	1709
FBGN0051219	35	10	10	3	0	8
FBGN0038312	339	482	422	462	406	320
FBGN0038549	805	1045	723	1031	1338	1195
FBGN0011672	3125	2929	2426	2048	2159	2299
FBGN0038204	7	30	4	2	0	3
FBGN0039537	7848	6909	6383	6622	7013	8251
FBGN0283439	228	148	131	155	206	142
FBGN0039485	56	17	25	39	11	8
FBGN0039876	981	1140	860	735	832	793
FBGN0038870	9963	11367	8624	8773	9511	9521
FBGN0038390	2431	2621	2191	2298	2768	2526
FBGN0010379	12330	12608	9651	9538	11281	11260
FBGN0266451	1677	1732	1309	139	150	142
FBGN0085332	20	7	8	0	0	0
FBGN0037477	9	9	6	18	19	4
FBGN0038716	215	174	135	28	64	49
FBGN0038833	13	12	7	5	11	17
FBGN0039685	4679	5249	4219	1773	3005	1174
FBGN0039109	159	195	114	71	55	64
FBGN0039029	37	35	10	24	5	6
FBGN0037416	37	68	60	10	14	42
FBGN0039751	963	1065	845	770	860	1003
FBGN0265276	17045	17037	13200	21229	21496	22510
FBGN0051040	3224	2994	2112	2083	2236	2482
FBGN0263022	17	33	2	27	8	3
FBGN0039301	1880	1914	1581	1067	1217	1114
FBGN0261065	4670	5110	3511	3600	3766	4357
FBGN0287587	8	47	20	5	20	13
FBGN0260766	102	45	45	61	62	81
FBGN0039561	2780	2994	2277	2403	3187	2841
FBGN0039104	42	21	36	42	0	7
FBGN0038679	9810	9446	7568	11150	10833	11328
FBGN0038445	65	71	10	39	37	46
FBGN0047114	1929	1961	1676	720	959	831
FBGN0038449	50	64	37	38	18	25
FBGN0039129	55	135	88	25	42	59
FBGN0038809	5979	6115	4800	4948	5605	5037
FBGN0011476	354	430	366	192	148	225
FBGN0261817	18	28	23	10	8	1
FBGN0027610	605	660	557	669	620	766
FBGN0037345	323	324	365	329	313	214
FBGN0039851	2203	2303	1991	2345	2644	2722
FBGN0010355	19959	20227	15389	20457	23260	23170
FBGN0051548	1219	1585	1057	1212	1067	1597
FBGN0260487	129	140	110	111	118	35
FBGN0262717	6370	7017	5297	8574	9646	9413
FBGN0287588	44	36	30	86	83	61
FBGN0051510	6717	6818	5512	5524	7106	5852
FBGN0037722	3050	3031	2327	1805	2198	1897
FBGN0037328	42041	43621	32151	46152	51763	61302
FBGN0037565	227	321	249	90	78	75
FBGN0037698	304	182	137	171	153	81
FBGN0260467	1831	2009	1397	1183	1402	1128
FBGN0085461	40	10	32	23	9	1
FBGN0041188	33810	32942	25417	32072	34301	37366
FBGN0037315	2024	2366	1444	2716	2360	2968
FBGN0040283	15254	16183	11881	15151	16498	15369
FBGN0259974	11	22	25	22	8	1
FBGN0040682	171	450	222	0	26	4
FBGN0085383	61	27	31	49	41	16
FBGN0038291	360	319	116	83	130	94
FBGN0038828	28	50	32	31	11	13
FBGN0040206	5028	5353	4464	4502	5417	5016
FBGN0038452	15	32	42	27	24	14
FBGN0284232	9	16	2	8	10	30
FBGN0004908	823	1182	744	594	969	846
FBGN0051151	13773	12782	10400	17833	18324	20207
FBGN0037222	117	216	186	76	140	95
FBGN0004876	6884	7186	5793	7750	8781	9486
FBGN0038292	25	31	52	26	30	28
FBGN0038343	2	2	15	11	0	7
FBGN0039091	126	119	100	103	82	43
FBGN0051516	31	18	17	10	7	6
FBGN0001296	624	547	445	169	234	227
FBGN0286507	48	56	56	26	25	44
FBGN0039816	30	10	30	25	18	39
FBGN0038819	74	29	24	30	16	25
FBGN0086253	3147	3030	2372	1819	2249	2591
FBGN0039464	451	481	383	295	332	282
FBGN0038640	2367	2865	2056	2203	2443	2120
FBGN0039178	234	232	287	93	100	50
FBGN0243512	2327	2358	1962	1772	2150	1986
FBGN0041105	25	111	64	72	32	33
FBGN0039019	3753	4161	3352	2835	3202	3236
FBGN0039170	312	262	227	223	197	191
FBGN0039017	1183	1045	851	839	803	925
FBGN0051538	789	683	678	1744	1644	1874
FBGN0037878	4603	5284	4247	4678	4857	5398
FBGN0037465	3040	2886	2278	2066	2345	2412
FBGN0038371	575	668	506	444	502	616
FBGN0039726	2422	2519	1680	1126	1600	1744
