Geneid	RpS3_Xrp1_C_RNA	RpS3_Xrp1_B_RNA	RpS3_Xrp1_A_RNA	Xrp1_C_RNA	Xrp1_B_RNA	Xrp1_A_RNA
FBGN0051122	8935	7979	6707	7399	7430	8082
FBGN0286199	65	8	35	56	13	51
FBGN0038173	55	1	74	30	25	25
FBGN0038354	56	96	77	72	17	26
FBGN0004779	21	23	41	45	4	2
FBGN0004118	150	99	158	40	49	30
FBGN0037995	29	20	22	22	9	12
FBGN0027512	6147	5486	5157	6467	8014	7679
FBGN0051106	75	31	58	6	46	26
FBGN0286506	1796	1810	1575	1148	1482	1677
FBGN0039439	76	25	41	13	5	24
FBGN0037964	89	41	39	45	30	17
FBGN0039625	1521	1572	1278	1165	1376	1328
FBGN0039723	4	0	4	12	2	4
FBGN0262955	23352	22856	18325	18651	20792	20826
FBGN0039613	82	125	132	94	64	104
FBGN0051103	185	112	101	185	126	111
FBGN0039807	514	587	342	635	609	635
FBGN0051493	17	22	20	18	24	2
FBGN0038868	1269	1561	1249	1077	1561	1062
FBGN0038787	7056	7839	5748	6294	6997	6987
FBGN0039154	47	52	73	41	43	37
FBGN0051158	12528	11301	9598	14932	16644	17211
FBGN0039600	20157	20261	16560	16604	18513	18021
FBGN0038219	30	17	41	2	8	1
FBGN0262473	5116	5485	4017	4015	5024	4860
FBGN0083984	268	348	183	137	183	125
FBGN0038878	13	20	13	30	11	5
FBGN0039523	101	99	50	38	33	40
FBGN0004389	24	4	39	16	18	11
FBGN0038877	2431	2161	1771	2522	2412	3053
FBGN0039356	159	214	145	75	106	106
FBGN0037455	10	19	22	24	12	4
FBGN0039264	16	34	28	29	12	23
FBGN0287211	10	29	23	7	3	4
FBGN0037994	50	10	7	26	12	30
FBGN0004885	15805	15277	11936	26014	27432	30758
FBGN0038136	94	45	41	15	28	8
FBGN0051390	2029	2515	1590	1264	1423	1208
FBGN0038948	3444	4103	3042	2647	3082	3625
FBGN0038601	6036	6194	4383	3391	4363	4091
FBGN0264836	14	15	13	9	0	2
FBGN0000277	8	4	0	6	0	2
FBGN0038751	56	19	29	15	14	16
FBGN0266172	0	0	0	0	0	0
FBGN0264326	5943	6291	4605	6868	7325	7939
FBGN0051088	2	1	1	5	3	0
FBGN0039188	2489	2384	1738	2003	2513	1815
FBGN0266448	177	114	127	46	25	29
FBGN0025456	802	945	669	435	540	383
FBGN0040602	14	9	15	4	0	17
FBGN0037386	125	29	92	17	76	11
FBGN0051156	1428	1568	1283	1296	1446	1748
FBGN0037265	336	312	333	395	272	342
FBGN0004197	21103	22205	16878	28911	31202	32494
FBGN0085305	106	150	162	173	156	97
FBGN0037857	22	12	27	29	13	15
FBGN0044810	13	6	20	27	1	5
FBGN0037955	2833	2935	2061	1973	2514	2200
FBGN0037270	20242	21733	17667	13613	14353	17329
FBGN0264899	3	23	14	14	12	0
FBGN0039139	3223	3239	2742	2712	3070	3318
FBGN0041229	40	10	69	28	35	15
FBGN0039286	212	41	70	106	41	113
FBGN0037251	569	727	539	564	454	438
FBGN0051050	13	0	2	0	8	4
FBGN0037719	3745	3789	3012	1620	2022	2284
FBGN0039093	128	20	71	83	19	49
FBGN0016685	19033	21916	18189	16113	18186	16160
FBGN0038584	1398	1738	1333	1094	1410	1484
FBGN0051337	56	67	101	22	22	9
FBGN0028692	35247	36047	28272	27038	30533	31232
FBGN0037727	52	18	33	13	17	9
FBGN0002734	1431	1674	1000	941	847	1110
FBGN0037563	0	6	8	30	0	20
FBGN0053100	3068	2820	2381	3697	3946	3968
FBGN0038089	9	27	16	0	5	8
FBGN0022800	4502	4997	3881	4947	4884	5538
FBGN0051086	33	14	0	10	5	0
FBGN0042105	29	42	47	23	38	18
FBGN0038575	19	36	29	27	0	3
FBGN0045442	28	45	85	31	9	5
FBGN0051404	53	45	66	116	172	121
FBGN0027657	212	287	185	153	246	208
FBGN0262823	22	5	18	11	3	2
FBGN0039240	4328	4397	3800	3964	4286	4606
FBGN0037792	4136	4520	3355	3057	3164	3616
FBGN0261840	438	447	261	640	622	643
FBGN0039505	749	875	638	640	895	735
FBGN0039790	5685	5209	4443	5234	5344	5631
FBGN0010173	20066	19330	16420	11556	13128	13826
FBGN0039527	2382	2399	1934	1246	2058	1226
FBGN0015570	51	34	49	18	28	25
FBGN0051015	46	48	33	6	7	13
FBGN0037617	1176	1058	1139	1000	935	1112
FBGN0039748	141	114	161	80	104	62
FBGN0028422	176	92	120	47	18	49
FBGN0038731	175	83	70	124	32	114
FBGN0038043	5708	5945	4404	3756	4231	4898
FBGN0004777	53	57	28	40	19	11
FBGN0037293	1800	2803	2005	1672	1891	2044
FBGN0039009	49	36	41	28	37	35
FBGN0039766	384	609	362	323	242	283
FBGN0039283	70	168	86	45	97	130
FBGN0037818	76	50	23	17	4	14
FBGN0037492	631	542	354	327	418	427
FBGN0039668	4057	3906	3169	4398	4480	4656
FBGN0014427	6639	7507	5615	3457	4711	4531
FBGN0261286	7366	7336	5461	6004	7472	6657
FBGN0038282	85	60	42	54	48	18
FBGN0038473	9002	10710	7494	6575	7656	8304
FBGN0039016	7715	7842	6421	8344	8665	8880
FBGN0039067	2120	1941	1523	1518	1511	1513
FBGN0087012	132	80	122	58	34	62
FBGN0039555	3772	4159	3181	2593	2747	3050
FBGN0053970	883	885	837	1017	1346	1575
FBGN0085326	21	43	14	16	23	9
FBGN0037538	4385	4463	3319	4087	4170	4748
FBGN0086768	3231	3132	3030	2865	3092	3166
FBGN0038722	4333	4704	3620	4079	4816	5075
FBGN0259244	5612	5749	4841	7084	7936	8419
FBGN0037481	1022	1006	805	755	818	928
FBGN0039810	7	2	2	1	6	0
FBGN0040534	1280	1485	1022	735	911	666
FBGN0014135	856	767	600	732	873	932
FBGN0039058	31	77	32	11	10	1
FBGN0085308	192	92	109	8	87	22
FBGN0051119	8	67	20	10	18	0
FBGN0037625	134	32	57	30	16	51
FBGN0262559	7521	7438	6544	5348	5400	6336
FBGN0051528	22	21	1	9	21	10
FBGN0278600	0	0	2	0	2	0
FBGN0038369	3911	4137	2808	2542	2971	3087
FBGN0039483	49	21	9	17	12	4
FBGN0040679	0	0	8	5	3	1
FBGN0039663	1441	1435	985	2032	2357	2037
FBGN0046332	63	94	49	27	38	52
FBGN0046214	55639	60008	46178	46441	51101	53419
FBGN0037655	4788	5022	4169	4892	5574	5959
FBGN0038692	2135	2309	2011	1860	2344	2128
FBGN0263401	1	0	2	3	7	0
