Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBGN0027556	194.139609774001	0.761539678081077	0.380306196933033	2.00243825691637	0.04523761738204	0.129857752207612
FBGN0025809	303.690384200478	0.861842471431763	0.241857205022355	3.56343517387502	0.000366033120060027	0.00296486827248622
FBGN0030956	587.145373038208	-0.0262402793347853	0.269614367242033	-0.0973252264083889	0.922468123317179	0.959873834751957
FBGN0030859	2.89758705192616	0.537559192815782	2.01767899455107	0.266424537435098	0.789912269782849	NA
FBGN0040931	207.841704291539	1.02337559886261	0.305449354037114	3.35039372431693	0.000806967685383464	0.0056731350862996
FBGN0265767	23.9851224968922	-0.748554128780457	0.704779691851541	-1.06211080914366	0.288185383582821	0.484733219650553
FBGN0002948	447.827413702777	-0.521829287576506	0.226216037983732	-2.30677405646204	0.021067419264916	0.0735543517438877
FBGN0030443	105.258243399288	-7.3584071105931	1.65847080208024	-4.43686262149649	9.12795066128699e-06	0.000130209587151437
FBGN0023517	434.202483206231	-0.514192179608822	0.180760582846237	-2.84460346117724	0.00444667422207019	0.022150144587478
FBGN0003969	1000.18246833283	0.268935220913586	0.22183323078831	1.21233063215053	0.225385842628745	0.408585707778199
FBGN0052594	323.17540447373	0.367707887770562	0.247838059227402	1.48366190776686	0.13789863669108	0.291209657850241
FBGN0001206	511.54683508853	0.0185649960257966	0.21272628589674	0.0872717536882501	0.93045550562756	0.964038268424159
FBGN0028397	4.80952311963409	-1.28345883784404	1.88856406164721	-0.679595076443743	0.496760888054019	0.682698092685628
FBGN0001186	1084.85095311898	-0.0416755296618779	0.182193383688791	-0.228743375956313	0.819068379307691	0.903127598632948
FBGN0052523	0.599053164061313	0.577611149469348	3.06716565476396	0.188320819441948	0.850625165776287	NA
FBGN0029922	19.2233684715115	-0.656892731662618	0.82856972409215	-0.792803203595646	0.427892489736419	0.623173630690235
FBGN0029851	2.77426649034852	-0.186868389427378	1.90623119598302	-0.0980302860540548	0.921908244390596	NA
FBGN0031091	152.347769535874	-0.268535380984226	0.314441642256223	-0.854007055354995	0.393101080177994	0.58833773219895
FBGN0030813	105.027819092698	-1.21872534648632	0.375259796083519	-3.24768429553556	0.00116348287892352	0.00768096599374384
FBGN0026679	608.665872197175	-0.311746172069571	0.172020154180982	-1.81226539154002	0.0699451993582505	0.17988699428546
FBGN0000459	61.19124697053	-0.322611151406564	0.492375082165258	-0.655214211872494	0.512329845400906	0.696493971987103
FBGN0263830	0.920989604989887	-0.174717548752953	3.46500565937767	-0.0504234526371115	0.959784947653277	NA
FBGN0052707	304.815249043864	0.217833396555426	0.225988057620362	0.96391552212624	0.335088281064356	0.533928727012397
FBGN0030623	0.593460642716446	-3.96828817883335	3.6218975099543	-1.09563789917496	0.273237269269935	NA
FBGN0052588	0.253859078724119	-0.717338496932338	3.39691990770099	-0.211173214683718	0.832752111033693	NA
FBGN0288743	0.0478914722105556	-3.38502372378732	6.16221040285979	-0.549319724983162	0.582786053113121	NA
FBGN0025628	851.837261886233	-0.286582952786789	0.196279979028992	-1.46007226108608	0.144270215242633	0.300057777740012
FBGN0031081	17.9554413132624	2.30476244992754	1.04912847106742	2.19683529089873	0.0280322116427606	0.091556820284823
FBGN0031144	311.491384509778	-0.90307112434309	0.227343471221458	-3.97227648320455	7.11890237566533e-05	0.000750142258250255
FBGN0030597	3.04826136031846	0.638810757299041	2.26839597014709	0.281613424510545	0.778239945397352	NA
FBGN0066114	141.00276047056	0.351478787740587	0.34677406271445	1.01356711914758	0.310789353958815	0.508073505111681
FBGN0026749	137.588936064282	0.84071916470134	0.496027679138954	1.69490373230931	0.0900936843908556	0.21452522241841
FBGN0029665	119.702367327528	1.10101348311288	0.390299325823469	2.82094641283306	0.00478822006124735	0.0235120030946331
FBGN0265630	760.263672383744	-0.0469969159468589	0.164218963846416	-0.28618446278112	0.774736843215467	0.875423340768054
FBGN0085440	6.38364160800695	-1.31148851648408	1.69681868314333	-0.772910228719646	0.439575510757316	0.6327480048491
FBGN0031086	1.3299774212197	-0.405211651044919	2.1439210901849	-0.189004927886582	0.850088954509191	NA
FBGN0031011	615.470029085166	-0.756253102110835	0.199312608470487	-3.79430638088716	0.000148056763260604	0.00138191257492237
FBGN0261793	1436.80900076888	-0.0979778342989613	0.172069077968907	-0.569409887328307	0.569078008499694	0.741704442307912
FBGN0031098	841.363235027536	-0.37457031515351	0.242895412915039	-1.54210534755767	0.123047995693554	0.268303389486296
FBGN0030221	0.773198956733419	0.280442495428572	2.52502367914421	0.111065293266327	0.911564570385207	NA
FBGN0052521	323.952726281683	-1.27165779641888	0.268553266858401	-4.73521626191714	2.18821641574157e-06	3.7729776887601e-05
FBGN0030051	50.5340113722177	1.69705063371889	0.598887878564741	2.83367003150229	0.00460168201617405	0.022781881092577
FBGN0003371	3688.51362043536	-0.778055443354344	0.164923390880549	-4.71767794246891	2.38551727007725e-06	4.04755799103271e-05
FBGN0000108	63.7852091364146	-5.25085484486568	1.98916703493136	-2.63972544922396	NA	NA
